	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
AT1G01860	0.0050897975	0.0018954071	0.0041083475	0.008078207	0.0054540862	0.0031521933	0.003596731	0.0021034717	0.01989532	0.010416726	0.0	0.0011951893	0.0
AT1G01880	0.0037196127	0.00025247215	0.0056000943	0.00094341923	0.0068447567	0.0029459465	0.00579166	0.004542386	0.0017555576	0.0056090737	0.0	0.0	0.014849448
AT1G01900	0.0016202217	0.004575605	0.0026998927	0.0011853235	0.004830887	0.0012270458	0.0027520263	0.0012002874	0.001689177	0.0033176907	0.71959704	0.11749873	0.0
AT1G01910	0.48094636	0.6763353	0.341226	0.32667753	0.46254778	0.45249337	0.48148015	0.39917493	0.44245	0.36822778	0.5335747	0.5627546	0.8112285
AT1G01920	0.018212756	0.044781163	0.06859454	0.039674267	0.07984155	0.020841597	0.14465252	0.037582427	0.083028026	0.054760277	0.021799514	0.073629245	0.064955495
AT1G01930	0.057765923	0.06793835	0.07350342	0.026908498	0.04082385	0.05302718	0.08797981	0.051794868	0.041425362	0.038199134	0.04857757	0.047519553	0.07244626
AT1G01940	0.11128829	0.06886274	0.16622719	0.11578858	0.15708864	0.058496885	0.21741745	0.08580533	0.19106562	0.1937603	0.06393307	0.1910996	0.18508255
AT1G01950	0.09962965	0.06566641	0.06613017	0.055253666	0.054864723	0.07959596	0.097371966	0.08598407	0.06213771	0.04039485	0.03800701	0.04222869	0.0798667
AT1G01960	0.10001463	0.14689532	0.19365573	0.07728689	0.08239866	0.16785055	0.2822682	0.1935716	0.074340776	0.055021808	0.108950794	0.09401348	0.057022657
AT1G01970	0.0044252123	0.0038260962	0.012786415	0.01643568	0.0009091376	0.010964276	0.016761713	0.008773524	0.020637186	0.007785807	0.000953918	0.012812307	0.021767281
AT1G01990	0.1611978	0.07579639	0.19398662	0.10076974	0.14781949	0.10665208	0.17459999	0.059323926	0.1384674	0.13862503	0.06879788	0.16842619	0.08296462
AT1G02000	0.46126345	0.24262728	0.8867103	0.20640594	0.32685542	0.42466208	0.79720604	0.2812322	0.27482006	0.20369977	0.71459943	0.17790344	0.3075116
AT1G02010	0.012866728	0.010048154	0.032238424	0.0102801565	0.0034110418	0.014454213	0.019580921	0.017694881	0.013814407	0.014964741	0.014962867	0.012266068	0.0
AT1G02020	0.027797848	0.0074607534	0.0101835085	0.017036157	0.0010922386	0.0031606506	0.024949666	0.0061043077	0.014666903	0.011338976	0.0056964858	0.0011951893	0.05800809
AT1G02030	0.056979652	0.0017273896	0.0029821177	0.0	0.021456642	0.0014480659	0.006558198	0.0031912504	0.0031503562	0.00024577195	0.002963686	0.0	0.09248266
AT1G02040	0.0	0.004656546	0.002250615	0.0	0.0	0.0	0.0004845893	0.0	0.0	0.0	0.0	0.0	0.0
AT1G02050	0.004635885	0.007221833	0.00065610715	0.0	0.0	0.00051537104	0.01891556	0.006243974	0.0018101329	0.0015833632	0.0	0.0011339454	0.0
AT1G02060	0.0027685708	0.00014986406	0.0	0.0	0.004411965	0.0018756571	0.0033964904	0.00073637563	0.002073937	0.00031177633	0.0	0.0	0.0
AT1G02070	0.0	0.0	0.008151983	0.0	0.0	0.0	0.00891209	0.00033781177	0.0	0.0	0.009820196	0.0	0.0
AT1G02080	0.10499841	0.16012457	0.35040402	0.079962045	0.07959382	0.14374658	0.2751463	0.19648291	0.0869902	0.09441603	0.11844424	0.069562666	0.064089485
AT1G02090	0.33799678	0.25103027	0.28622702	0.33197334	0.34044772	0.232536	0.4170523	0.24505751	0.33880025	0.27735433	0.24202399	0.27482972	0.41323
AT1G02100	0.18324901	0.2647894	0.22154628	0.2438935	0.19988823	0.24121572	0.2531963	0.19618104	0.32584977	0.23728868	0.29539916	0.37069222	0.12789206
AT1G02110	0.020250829	0.015714072	0.024285002	0.016499063	0.0035605251	0.022611335	0.04616178	0.023893798	0.025449978	0.017775893	0.008788106	0.021206291	0.011883128
AT1G02120	0.14568774	0.1673753	0.23663984	0.14956841	0.081669785	0.15379809	0.17567319	0.30627003	0.13360424	0.12485237	0.27450135	0.19047558	0.05744944
AT1G02130	0.51585317	0.34327236	0.3071401	0.4546391	0.54892033	0.47977078	0.4805292	0.36307278	0.49418953	0.51621634	0.5942013	0.80327517	0.69319713
AT1G02140	0.9046291	0.8646325	0.51119053	0.924911	0.9611393	0.5273227	0.8262886	0.57432586	1.0923244	0.92954725	0.7709745	1.1548729	0.87207925
AT1G02145	0.042752247	0.054302774	0.042910505	0.029678028	0.042028937	0.04388372	0.08950973	0.050191242	0.07124664	0.040664203	0.045053545	0.10349244	0.04261292
AT1G02150	0.026508516	0.009232847	0.02621399	0.023607321	0.035298765	0.019639133	0.04042702	0.023281967	0.05870435	0.028469766	0.0021072272	0.019988582	0.0
AT1G02160	0.1478058	0.14702804	0.20100133	0.08997808	0.17997445	0.14058712	0.24889033	0.15872505	0.18088427	0.18109728	0.14257377	0.30423552	0.20752761
AT1G02170	0.49149057	0.56211627	0.34634456	0.3928888	0.71251774	0.38925654	0.42114502	0.42588776	0.35225835	0.3320443	0.40906933	0.36879414	0.7246031
AT1G02180	0.010184842	0.008316843	0.017527843	0.025935726	0.012118675	0.010245034	0.014227388	0.008852456	0.01606267	0.0069999495	0.002298828	0.021395646	0.023937812
AT1G02190	0.0032437525	0.0007238305	0.0	0.0	0.0	0.002315319	0.00031956952	0.00025075948	0.0009459007	0.0027353691	0.0	0.0	0.0
AT1G02205	0.2065185	0.003956389	0.003934914	0.0014862182	0.009358241	0.008063331	0.00046462522	0.0003106304	0.0047451225	0.038550947	0.01915557	0.0014166462	0.0
