pathway	cfd_covariate	correlation	p_value	n	fdr
ja_signaling	g_bl_mol_m2_s	-0.3576077750206229	1.0826470669036772e-10	307	8.267486692718989e-10
ja_signaling	carbon_12h_pct_earth	0.22767958556276163	5.6734646174395766e-05	307	6.189234128115902e-05
ja_signaling	delta_mm	0.34318741583542367	6.52438256536578e-10	307	3.6536542366048367e-09
sa_biosynthesis	g_bl_mol_m2_s	-0.2979178027232454	1.0380509044516316e-07	307	1.9376950216430458e-07
sa_biosynthesis	carbon_12h_pct_earth	0.2929148012818685	1.7281903524634892e-07	307	3.024333116811106e-07
sa_biosynthesis	delta_mm	0.28427226271207134	4.075010280251123e-07	307	6.985731909001924e-07
sa_signaling	g_bl_mol_m2_s	-0.29544326263910115	1.33733482865315e-07	307	2.4420896871057515e-07
sa_signaling	carbon_12h_pct_earth	0.293711948686447	1.5944172198195757e-07	307	2.8495967332945607e-07
sa_signaling	delta_mm	0.2819648913630761	5.099106633424898e-07	307	8.566499144153829e-07
photosynthesis_light_reactions	g_bl_mol_m2_s	-0.46700080307285774	4.916002320210504e-18	307	4.1294419489768237e-16
photosynthesis_light_reactions	carbon_12h_pct_earth	0.00554863958826049	0.9228660260011408	307	0.9228660260011408
photosynthesis_light_reactions	delta_mm	0.4602858499717287	1.6712830787029013e-17	307	7.019388930552186e-16
calvin_cycle	g_bl_mol_m2_s	-0.4224700868801139	1.0151750144028014e-14	307	2.0799710622266105e-13
calvin_cycle	carbon_12h_pct_earth	0.14563357190411183	0.010620836627044007	307	0.010879881422825569
calvin_cycle	delta_mm	0.41524269717182805	3.162937975618106e-14	307	4.4281131658653487e-13
starch_metabolism	g_bl_mol_m2_s	-0.3024790584554403	6.466854524821095e-08	307	1.2632925118255162e-07
starch_metabolism	carbon_12h_pct_earth	0.2795385980171688	6.440715529444353e-07	307	1.0404232778333185e-06
starch_metabolism	delta_mm	0.30219132426678913	6.664430191552682e-08	307	1.272300309296421e-07
sucrose_metabolism	g_bl_mol_m2_s	-0.3077193884657333	3.71680497302586e-08	307	8.216095203530849e-08
sucrose_metabolism	carbon_12h_pct_earth	0.19709498846769252	0.0005138552035261216	307	0.0005395479637024278
sucrose_metabolism	delta_mm	0.30839251515798166	3.4588430922082075e-08	307	7.852508641769985e-08
glycolysis	g_bl_mol_m2_s	-0.3182950918330064	1.1755204370801266e-08	307	3.404955748783815e-08
glycolysis	carbon_12h_pct_earth	0.2690859126678665	1.7178873159837376e-06	307	2.487974733493689e-06
glycolysis	delta_mm	0.3103350889552823	2.8076168702289714e-08	307	6.738280488549532e-08
trehalose_metabolism	g_bl_mol_m2_s	-0.3472445205642896	3.972500588032783e-10	307	2.38350035281967e-09
trehalose_metabolism	carbon_12h_pct_earth	0.24237310985742033	1.7581023003086208e-05	307	2.109722760370345e-05
trehalose_metabolism	delta_mm	0.3352772525115595	1.6819981548198396e-09	307	7.243508913400781e-09
cell_wall_biosynthesis	g_bl_mol_m2_s	-0.3204869519274133	9.207749401394276e-09	307	2.864633147100441e-08
