logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_id	contrast	model
1.1675198705943	4.69963010256718	8.54457464184007	7.1199161044444e-16	7.38910966309906e-13	25.4655791920757	AT1G62422	Flight_x_HW_CARA_vs_BRIC	factorial
1.23597969884777	4.81423980708782	8.54181248598865	7.25760191637436e-16	7.38910966309906e-13	25.4465762345796	AT1G13360	Flight_x_HW_CARA_vs_BRIC	factorial
2.10748756641533	4.35950068782106	8.535743290203	7.56946444545767e-16	7.41021455885516e-13	25.4059193938189	AT3G47510	Flight_x_HW_CARA_vs_BRIC	factorial
2.72856393294695	3.73624977305586	8.51785754000418	8.56778646095527e-16	8.07688402928498e-13	25.2361273036237	AT1G52342	Flight_x_HW_CARA_vs_BRIC	factorial
-3.13201182931623	4.65701955081022	-8.47314421398296	1.16704632801897e-15	1.06088679239524e-12	23.9983710800717	AT5G17300	Flight_x_HW_CARA_vs_BRIC	factorial
1.19715300536393	5.94089531866919	8.3968133702652	1.97362484085515e-15	1.73223010600987e-12	24.4775180058487	AT3G15630	Flight_x_HW_CARA_vs_BRIC	factorial
2.19233821055463	6.44228894688751	8.29868225527044	3.86210245671797e-15	3.27673646102809e-12	23.8258908610862	AT5G66170	Flight_x_HW_CARA_vs_BRIC	factorial
0.995110023386082	3.85886791483749	8.23261016161239	6.05320732953103e-15	4.96560061233613e-12	23.3842370392906	AT4G19700	Flight_x_HW_CARA_vs_BRIC	factorial
0.537877522235263	6.16492682972055	8.22806292901018	6.24284837130225e-15	4.96560061233613e-12	23.3612215056371	AT4G31170	Flight_x_HW_CARA_vs_BRIC	factorial
-1.2490653396009	3.77827231310654	-8.20602583270376	7.2484738116891e-15	5.59076981602796e-12	23.2062694307848	AT3G63300	Flight_x_HW_CARA_vs_BRIC	factorial
-1.26426380110223	5.3755305658978	-8.19374518325278	7.87676822155241e-15	5.89668769244628e-12	23.1353023118185	AT3G56370	Flight_x_HW_CARA_vs_BRIC	factorial
0.920516310023815	5.98891546694317	8.17548256944278	8.91199018663886e-15	6.48105389201483e-12	23.0158084105157	AT3G20410	Flight_x_HW_CARA_vs_BRIC	factorial
0.917338188736242	5.38572214588536	8.15263784142971	1.03981218402661e-14	7.35176097778589e-12	22.8651690589457	AT4G18930	Flight_x_HW_CARA_vs_BRIC	factorial
1.46287273644461	4.15904785192636	8.14595190610767	1.08776862298029e-14	7.48296615154519e-12	22.8164834649926	AT5G42200	Flight_x_HW_CARA_vs_BRIC	factorial
1.1489892476208	6.6567835518762	8.14049684425056	1.12851155883353e-14	7.55894860710258e-12	22.7860191688905	AT4G19160	Flight_x_HW_CARA_vs_BRIC	factorial
1.11538687146941	5.91170815021832	8.10717553724163	1.4122524944236e-14	9.21693916424718e-12	22.569331946816	AT4G02370	Flight_x_HW_CARA_vs_BRIC	factorial
0.519048884162134	6.0550397003449	8.06868885070861	1.82859101241771e-14	1.1635781759767e-11	22.3190698446021	AT3G23280	Flight_x_HW_CARA_vs_BRIC	factorial
1.35412844084722	5.29754659465448	8.04210236498668	2.18492743708619e-14	1.35641361112573e-11	22.1457931652956	AT1G33790	Flight_x_HW_CARA_vs_BRIC	factorial
0.898024925724492	5.20984315493359	8.01849456583758	2.55837367453869e-14	1.55043536042936e-11	21.9934185198042	AT4G02050	Flight_x_HW_CARA_vs_BRIC	factorial
2.48251600433777	3.96930690948218	8.00833034125559	2.73797800333591e-14	1.6206919562537e-11	21.9182395603754	AT2G23030	Flight_x_HW_CARA_vs_BRIC	factorial
0.87089110106691	6.79709478795139	7.97793121877615	3.35289384407772e-14	1.93957288666614e-11	21.7309667228321	AT1G20693	Flight_x_HW_CARA_vs_BRIC	factorial
1.07594162216278	6.28706075961779	7.96954237773111	3.54539786171249e-14	2.00535581720373e-11	21.6772160823276	AT1G27290	Flight_x_HW_CARA_vs_BRIC	factorial
1.35894817129777	5.13285681570327	7.95758302471132	3.83886098173688e-14	2.12414192539454e-11	21.5998632988994	AT1G53560	Flight_x_HW_CARA_vs_BRIC	factorial
1.89242733188287	5.18328166477323	7.91538015167057	5.07953713756021e-14	2.75083954813447e-11	21.3207043562765	AT1G76590	Flight_x_HW_CARA_vs_BRIC	factorial
0.49590873101769	5.85785772322624	7.89614271050745	5.76939755821984e-14	3.05934325102853e-11	21.2053295504493	AT1G34190	Flight_x_HW_CARA_vs_BRIC	factorial
-9.3100145212369	2.80080898254589	-7.86790259649678	6.95292415711e-14	3.61168935859022e-11	19.9818837994267	AT5G13930	Flight_x_HW_CARA_vs_BRIC	factorial
1.95331017979788	6.79473830665522	7.86112763131499	7.27079469971318e-14	3.6494509725025e-11	20.9812346697424	AT3G01290	Flight_x_HW_CARA_vs_BRIC	factorial
0.889724795031155	7.23566110937782	7.86026303294144	7.31237966438641e-14	3.6494509725025e-11	20.9756916792145	AT5G25350	Flight_x_HW_CARA_vs_BRIC	factorial
-1.62748367148011	4.79257812117388	-7.80529877477451	1.04994832082656e-13	5.13708787502923e-11	20.6253404824522	AT5G52882	Flight_x_HW_CARA_vs_BRIC	factorial
2.19481350726572	5.52339593374606	7.80246337710102	1.06968002740954e-13	5.13708787502923e-11	20.600813821301	AT5G13330	Flight_x_HW_CARA_vs_BRIC	factorial
-0.941068823449671	5.07294044961966	-7.7960538352666	1.11564437559937e-13	5.17394035858537e-11	20.5665325010756	AT1G53300	Flight_x_HW_CARA_vs_BRIC	factorial
1.63270253515058	4.85876356159092	7.79573125206707	1.11800856371428e-13	5.17394035858537e-11	20.5636293223728	AT4G32480	Flight_x_HW_CARA_vs_BRIC	factorial
0.663849593516519	5.26345725644932	7.78052473079251	1.23525339073968e-13	5.61267966254319e-11	20.4679924654696	AT1G64280	Flight_x_HW_CARA_vs_BRIC	factorial
0.614961458481813	5.8782689355314	7.77787197873796	1.25691565145547e-13	5.61267966254319e-11	20.4509341448198	AT3G28690	Flight_x_HW_CARA_vs_BRIC	factorial
1.4906764176699	6.04512461960226	7.76620999880345	1.3566832514689e-13	5.95373427579964e-11	20.3771258403514	AT4G15550	Flight_x_HW_CARA_vs_BRIC	factorial
0.855390571332239	3.7931894382988	7.76265480471544	1.38862485807364e-13	5.99062178178784e-11	20.3498705342051	AT2G21500	Flight_x_HW_CARA_vs_BRIC	factorial
-1.00688479637614	5.02444321364763	-7.74802766074882	1.52804227115399e-13	6.48220998794709e-11	20.2619902431121	AT1G69420	Flight_x_HW_CARA_vs_BRIC	factorial
-2.36928159492062	4.79918278749906	-7.71542154774286	1.89051279264051e-13	7.88839706739e-11	20.0469976542138	AT2G28950	Flight_x_HW_CARA_vs_BRIC	factorial
1.7421002682918	4.23275588885399	7.70749462190009	1.99074974587887e-13	8.17266988417015e-11	19.909345635149	AT5G61010	Flight_x_HW_CARA_vs_BRIC	factorial
1.21470815229218	6.77027378338685	7.69902618713705	2.10363469349345e-13	8.49901807198235e-11	19.9525572490408	AT2G30930	Flight_x_HW_CARA_vs_BRIC	factorial
-0.746496551750159	6.2923783778143	-7.6873475252274	2.26974465593122e-13	8.94150905413124e-11	19.8783829039664	AT5G13000	Flight_x_HW_CARA_vs_BRIC	factorial
1.2208733181903	4.76881867072887	7.68642419450672	2.28341684091671e-13	8.94150905413124e-11	19.8717876014734	AT1G67800	Flight_x_HW_CARA_vs_BRIC	factorial
0.590455615623139	6.25495556015448	7.67982924825307	2.38346419439155e-13	9.19186577876486e-11	19.8310816818295	AT1G04440	Flight_x_HW_CARA_vs_BRIC	factorial
0.916848452477457	6.97288890103398	7.66228932621029	2.67109985467793e-13	1.01473887464354e-10	19.7217633863351	AT5G54500	Flight_x_HW_CARA_vs_BRIC	factorial
-1.23944660140101	4.39524228440345	-7.64840789219689	2.92280432217638e-13	1.08511141931809e-10	19.630400047109	AT5G11790	Flight_x_HW_CARA_vs_BRIC	factorial
0.543727733161394	5.79753295148851	7.6474188868183	2.94160562342152e-13	1.08511141931809e-10	19.6275494170713	AT2G45140	Flight_x_HW_CARA_vs_BRIC	factorial
0.680892077821557	6.41559636068358	7.64245646842557	3.03776017979644e-13	1.10457299794798e-10	19.5966231282348	AT4G27320	Flight_x_HW_CARA_vs_BRIC	factorial
0.771091207618961	5.28535958029124	7.60646783427142	3.83430933807063e-13	1.37457289551988e-10	19.3716544256071	AT1G68820	Flight_x_HW_CARA_vs_BRIC	factorial
-2.08544801012057	4.6797047034435	-7.58957050534424	4.2762787111618e-13	1.50949031933097e-10	19.2667006834762	AT3G23730	Flight_x_HW_CARA_vs_BRIC	factorial
0.997705493966633	5.21660075677417	7.58766159173341	4.32926544262605e-13	1.50949031933097e-10	19.2547161160805	AT4G37330	Flight_x_HW_CARA_vs_BRIC	factorial
1.59562653605653	5.35387822429568	7.58410564544433	4.42970318768612e-13	1.52363831400236e-10	19.2320282706017	AT5G40780	Flight_x_HW_CARA_vs_BRIC	factorial
